Source Code URL,Referencing Dataset
https://github.com/juliangarnier/3D-Hartwig-chess-set,https://github.com/leereilly/games
https://github.com/kenrick95/c4,https://github.com/leereilly/games
https://github.com/David20321/FTJ,https://github.com/leereilly/games
https://github.com/danbeck/green-mahjong,https://github.com/leereilly/games
https://github.com/binarymax/kriegspiel,https://github.com/leereilly/games
https://github.com/ornicar/lila,https://github.com/leereilly/games
https://github.com/Dave-and-Mike/game-off-2012,https://github.com/leereilly/games
https://github.com/cykod/AlienInvasion,https://github.com/leereilly/games
https://github.com/stephank/arashi-js,https://github.com/leereilly/games
https://github.com/dmcinnes/HTML5-Asteroids,https://github.com/leereilly/games
https://github.com/Zolmeister/avabranch,https://github.com/leereilly/games
https://github.com/budnix/ball-and-wall,https://github.com/leereilly/games
https://github.com/Couchfriends/breakout,https://github.com/leereilly/games
https://github.com/EnclaveGames/Captain-Rogers,https://github.com/leereilly/games
https://github.com/gamebytes/cellmates,https://github.com/leereilly/games
https://github.com/mjhasbach/ceros-snake,https://github.com/leereilly/games
https://github.com/RothschildGames/change,https://github.com/leereilly/games
https://github.com/Murkantilism/game-off-2013,https://github.com/leereilly/games
https://github.com/eugenioclrc/circushtml5,https://github.com/leereilly/games
https://github.com/shohan4556/jolly-jumper,https://github.com/leereilly/games
https://github.com/ellisonleao/clumsy-bird,https://github.com/leereilly/games
https://github.com/arkeus/Codename-Lumberjack,https://github.com/leereilly/games
https://github.com/dommmel/coffee-snake,https://github.com/leereilly/games
https://github.com/leereilly/Coil,https://github.com/leereilly/games
https://github.com/redbluegames/game-off-2013,https://github.com/leereilly/games
https://github.com/vladikoff/game-off-2012,https://github.com/leereilly/games
https://github.com/varunpant/CrappyBird,https://github.com/leereilly/games
https://github.com/ondras/custom-tetris,https://github.com/leereilly/games
https://github.com/nsmirn0v/d3shooter,https://github.com/leereilly/games
https://github.com/lutzroeder/digger,https://github.com/leereilly/games
https://github.com/Casmo/Drakonas,https://github.com/leereilly/games
https://github.com/DreamShowAdventures/LudumDare29,https://github.com/leereilly/games
https://github.com/MattSurabian/DuckHunt-JS,https://github.com/leereilly/games
https://github.com/Myztiq/ekgrunner,https://github.com/leereilly/games
https://github.com/operasoftware/Emberwind,https://github.com/leereilly/games
https://github.com/CamHenlin/ExecutiveMan,https://github.com/leereilly/games
https://github.com/hyspace/flappy,https://github.com/leereilly/games
https://github.com/anirudhjoshi/fluid_table_tennis,https://github.com/leereilly/games
https://github.com/AdamAtomic/Flx-Invaders,https://github.com/leereilly/games
https://github.com/AdamAtomic/FlxTeroids,https://github.com/leereilly/games
https://github.com/AdamAtomic/GraveRobbers,https://github.com/leereilly/games
https://github.com/krzysu/game-off-2013,https://github.com/leereilly/games
https://github.com/sdrdis/hotfix,https://github.com/leereilly/games
https://github.com/hughsk/ludum-dare-27,https://github.com/leereilly/games
https://github.com/razh/game-off-2013,https://github.com/leereilly/games
https://github.com/OmarShehata/I-Spy-A-Ghost,https://github.com/leereilly/games
https://github.com/awesome-interactive/game-off-2013,https://github.com/leereilly/games
https://github.com/KordonBleu/jumpsuit,https://github.com/leereilly/games
https://github.com/jeromeetienne/marbleSoccer,https://github.com/leereilly/games
https://github.com/robertkleffner/mariohtml5,https://github.com/leereilly/games
https://github.com/ddionisio/game-off-2013,https://github.com/leereilly/games
https://github.com/gamedolphin/Masonry-JavaScript-Tetris-Clone,https://github.com/leereilly/games
https://github.com/AdamAtomic/Mode,https://github.com/leereilly/games
http://www.adamatomic.com/mode/,https://github.com/leereilly/games
https://github.com/EnclaveGames/Monster-Wants-Candy-demo,https://github.com/leereilly/games
https://github.com/devnewton/newton_adventure,https://github.com/leereilly/games
https://github.com/ogoshen/game-off-2012,https://github.com/leereilly/games
https://github.com/lostdecade/onslaught_arena,https://github.com/leereilly/games
https://github.com/mindd-it/pappu-pakia,https://github.com/leereilly/games
http://khele.in/pappu-pakia/,https://github.com/leereilly/games
https://github.com/gamedolphin/javascript_snake,https://github.com/leereilly/games
https://github.com/bendangelo/PixelPlatformer,https://github.com/leereilly/games
https://github.com/gbatha/PolyBranch,https://github.com/leereilly/games
https://github.com/josegallegos07/game-off-2013,https://github.com/leereilly/games
https://github.com/petarov/game-off-2012,https://github.com/leereilly/games
https://github.com/RothschildGames/release-cycles,https://github.com/leereilly/games
https://github.com/softvar/save-the-forest,https://github.com/leereilly/games
